0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.44,-3.05,-2.44,-2.44,0,-0.61,-0.61,0,-1.22,0,-0.61,-0.61,-0.61,-0.61,-0.61,0,-0.61,0.61,-0.61,0
-4.27,-4.89,-4.27,-4.27,0.61,-0.61,-0.61,0,-1.22,-0.61,-0.61,-0.61,0,-0.61,0,0,-1.22,0,-1.22,-0.61
-2.44,-3.05,-2.44,-2.44,-0.61,-1.22,-1.84,-0.61,-1.83,-1.22,-1.83,-1.83,0,0,0,0,-1.22,-1.22,-1.84,-1.83
-1.83,-3.05,-2.44,-2.44,-2.44,-2.44,-2.45,-2.44,-1.83,-1.22,-1.22,-1.83,-0.61,-0.61,0.61,0,-2.44,-2.44,-2.45,-2.44
-2.44,-2.44,-2.44,-1.83,-3.67,-3.66,-3.67,-2.44,-2.44,-0.61,-1.83,-1.83,0,0,0,0,-3.66,-3.05,-3.06,-3.05
-1.22,-1.22,-1.22,-1.22,-3.67,-3.66,-3.67,-3.05,-2.44,-1.22,-1.83,-1.83,-0.61,0,0,0.61,-3.66,-3.05,-3.67,-3.05
0,-0.61,-0.61,0,-3.67,-4.27,-4.28,-3.66,-1.83,-1.22,-1.83,-2.44,0.61,-0.61,0,0,-4.27,-3.05,-3.67,-3.05
0.61,0,0.61,0,-3.67,-3.66,-3.67,-3.66,-1.83,-1.22,-2.44,-1.83,0.61,0.61,0.61,0.61,-3.66,-3.05,-3.67,-3.66
0.61,0,1.22,1.23,-4.28,-4.27,-4.28,-3.66,-2.44,-1.22,-1.83,-1.83,0.61,0,0.61,0.61,-3.66,-3.05,-3.67,-3.05
1.22,1.22,0.61,1.23,-4.28,-3.66,-3.67,-3.05,-2.44,-1.22,-1.83,-1.83,0.61,0.61,1.22,0.61,-3.66,-3.05,-3.67,-3.66
1.22,0.61,1.22,1.23,-3.67,-3.66,-3.67,-3.66,-2.44,-1.22,-1.83,-1.22,0,0,0.61,1.22,-3.66,-3.05,-3.67,-3.66
1.22,1.22,1.83,1.84,-3.67,-3.66,-4.28,-3.05,-1.83,-1.22,-1.83,-1.83,0.61,0.61,0.61,1.22,-4.27,-3.05,-3.67,-3.66
2.44,1.22,1.83,1.84,-3.67,-3.66,-4.28,-3.66,-1.83,-1.22,-1.22,-1.22,1.22,1.22,1.83,1.83,-3.66,-3.66,-3.67,-3.66
2.44,1.83,1.83,2.45,-3.67,-3.66,-3.67,-3.66,-1.83,-0.61,-1.22,-1.22,1.22,1.22,1.83,1.22,-3.66,-3.05,-3.67,-3.05
2.44,1.83,1.83,2.45,-3.67,-4.27,-3.67,-3.66,-1.83,-0.61,-1.22,-1.22,1.83,1.22,1.83,1.83,-3.66,-3.05,-3.06,-3.66
3.67,2.44,3.05,2.45,-3.67,-3.66,-3.67,-3.05,-1.22,-0.61,-0.61,-0.61,2.44,1.84,2.44,2.44,-3.66,-2.44,-3.06,-3.05
3.06,2.44,3.05,3.06,-3.06,-3.05,-3.06,-3.05,-1.22,0,-1.22,-0.61,2.44,2.45,2.44,3.05,-3.66,-2.44,-3.06,-3.05
3.67,3.66,3.05,3.67,-3.67,-3.05,-3.06,-2.44,-0.61,0,-0.61,-0.61,3.05,2.45,3.05,3.66,-3.66,-2.44,-3.06,-3.05
4.28,3.66,3.67,4.28,-3.06,-3.05,-3.06,-3.05,-0.61,1.22,0,0,3.05,3.06,3.66,3.05,-3.05,-1.83,-3.06,-2.44
4.28,4.27,4.28,4.28,-2.44,-2.44,-2.45,-2.44,0.61,0.61,0,0,3.66,3.67,3.66,3.66,-3.05,-2.44,-3.06,-2.44
