,0
0,AT3G56760
1,PP7
2,MGT6
3,AT1G73630
4,BOR4
5,CNGC12
6,TOM2A
7,ATPI
8,NIP1;2
9,AT1G02750
10,PMT5
11,TDT
12,PROT2
13,CDPK19
14,VHA-A
15,44470
16,44472
17,NDT1
18,AT1G57610
19,INT4
20,SYP121
21,GLU1
22,NRT1.6
23,AT5G02170
24,GLT1
25,CPK31
26,AT2G27240
27,ICK3
28,BR6OX2
29,AT3G24110
