,0
0,44470
1,NDT1
2,ICK3
3,CPK26
4,AT1G73630
5,CPK34
6,PTR3
7,CPK18
8,MYB101
9,ACA11
10,AT2G35330
11,CPK25
12,VHA-A
13,AT1G57610
14,NRT2.3
15,ABCG39
16,CPK1
17,AT2G25520
18,MCA1
19,CPK14
20,DND1
21,GLR2.3
22,PCAP1
23,AT4G14480
24,ANNAT2
25,CBL6
26,MSL3
27,TDT
28,CNGC12
29,AT2G43850
30,AT3G45720
31,AT3G45660
32,CPK7
33,AT4G26470
34,CPK22
35,MSL2
36,P5CS2
37,ALMT6
