,0
0,CRH1
1,BAP1
2,PDLP1
3,AT3G19100
4,RSL4
5,CML38
6,AT4G22990
7,At5g54490
8,KUP6
9,AT2G35330
10,CPK25
11,WAKL2
12,AT3G59450
13,KCO5
14,AT1G18210
15,ANNAT2
16,BAS1
17,CPK9
18,LHCA2
19,MPB2C
20,AT1G78310
21,CLC-E
22,CRT1
23,ANNAT4
24,WRKY8
25,CPK28
26,ENODL5
27,AT2G22950
