,0
0,TIC110
1,TOC159
2,ETP2
3,TOC34
4,OEP37
5,CPK20
6,MOT1
7,AT1G20816
8,GLR1.3
9,AT3G06450
10,ERS2
11,T22C5.23
12,AVP1
13,SULTR4;1
14,G3Pp4
15,UCP2
16,UPS4
17,VSR3
18,AT4G14480
19,RMR1
20,CBL2
21,GLR2.3
22,CYP81D11
23,AT4G00234
24,AT5G58330
25,AT1G68600
