,0
0,ABCG19
1,FRO3
2,LrgB
3,AT5G49130
4,ABCG32
5,AT1G26730
6,ZIFL2
7,ABCG31
8,TAAC
9,PNM1
10,CJD1
11,GLU1
12,ABCB28
13,PHT4;5
14,ABCA1
15,AT1G59740
16,44472
17,PHO1
