protein_source,protein_target,score
AT2G25370,RACK1C_AT,0.424
ATARCA,AT2G25370,0.424
ATARCA,COP1,0.679
ATARCA,RACK1B_AT,0.95
ATARCA,RACK1C_AT,0.905
COP1,RACK1C_AT,0.679
RACK1B_AT,AT2G25370,0.424
RACK1B_AT,COP1,0.679
RACK1B_AT,RACK1C_AT,0.935
AT1G08230,AT1G22570,0.502
AT1G08230,AT4G18220,0.499
AT1G22570,AT4G18220,0.499
AT2G34250,AT4G18220,0.499
ESL1,AT4G18220,0.499
ESL1,MHX,0.546
GLR1.1,AT4G18220,0.499
MHX,AT4G18220,0.499
WAK2,AT4G18220,0.516
AT1G61850,UMAMIT7,0.544
MSS1,UMAMIT7,0.547
AT5G01590,OEP80,0.876
AT5G01590,TIC40,0.873
AT5G01590,YCF1.2,0.94
AT5G01590,emb1211,0.992
CPN60B,AT5G01590,0.504
CPN60B,TIC40,0.677
CPN60B,TOC159,0.713
CPN60B,emb1211,0.827
CPN60B,emb2726,0.894
OEP80,YCF1.2,0.619
OEP80,emb1211,0.872
TIC110,AT5G01590,0.917
TIC110,CPN60B,0.804
TIC110,OEP80,0.993
TIC110,TIC40,0.999
TIC110,TOC159,0.999
TIC110,TOC75-III,0.999
TIC110,YCF1.2,0.637
TIC110,emb1211,0.937
TIC110,emb2726,0.487
TIC40,OEP80,0.992
TIC40,YCF1.2,0.714
TIC40,emb1211,0.879
TOC159,AT5G01590,0.854
TOC159,OEP80,0.994
TOC159,TIC40,0.958
TOC159,YCF1.2,0.616
TOC159,emb1211,0.883
TOC75-III,AT5G01590,0.891
TOC75-III,OEP80,0.771
TOC75-III,TIC40,0.992
TOC75-III,TOC159,0.999
TOC75-III,YCF1.2,0.618
TOC75-III,emb1211,0.873
TOC75-III,emb2726,0.403
Tic20-I,AT5G01590,0.993
Tic20-I,OEP80,0.96
Tic20-I,TIC110,0.995
Tic20-I,TIC40,0.988
Tic20-I,TOC159,0.934
Tic20-I,TOC75-III,0.984
Tic20-I,YCF1.2,0.934
Tic20-I,emb1211,0.98
emb1211,YCF1.2,0.961
emb2726,emb1211,0.826
AT1G50400,DIC2,0.755
AT1G50400,TOM22-V,0.995
AT1G50400,TOM40,0.547
AT1G50400,UCP5,0.755
DIC2,RDUF2,0.876
DIC2,TOM22-V,0.727
RDUF1,DIC2,0.859
RDUF1,RDUF2,0.866
TOM22-I,AT1G50400,0.995
TOM22-I,DIC2,0.727
TOM22-I,TOM22-V,0.733
TOM22-I,TOM40,0.999
TOM22-I,UCP5,0.727
TOM40,DIC2,0.755
TOM40,TOM22-V,0.999
UCP5,DIC2,0.683
UCP5,RDUF1,0.759
UCP5,RDUF2,0.686
UCP5,TOM22-V,0.727
UCP5,TOM40,0.755
AT1G56500,AT4G16610,0.556
AT1G56500,KEG,0.828
AT4G16610,KEG,0.546
TIP3;1,RMR1,0.581
TIP3;1,VSR1,0.846
VSR1,RMR1,0.884
OST1,PYL5,0.744
OST1,RCAR3,0.742
OST1,SNRK2.3,0.612
PP2CA,OST1,0.996
PP2CA,PYL13,0.996
PP2CA,PYL5,0.982
PP2CA,PYR1,0.991
PP2CA,RCAR3,0.993
PP2CA,SNRK2.2,0.999
PP2CA,SNRK2.3,0.983
PYL13,OST1,0.595
PYL13,PYL5,0.535
PYL13,RCAR3,0.536
PYL13,SNRK2.3,0.621
PYL4,OST1,0.825
PYL4,PP2CA,0.992
PYL4,PYL13,0.521
PYL4,PYL5,0.735
PYL4,PYL6,0.689
PYL4,SNRK2.2,0.848
PYL4,SNRK2.3,0.748
PYL5,SNRK2.3,0.637
PYL6,OST1,0.592
PYL6,PP2CA,0.979
PYL6,PYL13,0.518
PYL6,PYL5,0.69
PYL6,SNRK2.2,0.599
PYL6,SNRK2.3,0.441
PYR1,OST1,0.932
PYR1,PYL13,0.529
PYR1,SNRK2.3,0.934
RCAR1,OST1,0.745
RCAR1,PP2CA,0.975
RCAR1,PYL13,0.535
RCAR1,SNRK2.2,0.748
RCAR1,SNRK2.3,0.626
RCAR3,SNRK2.3,0.64
SNRK2.2,OST1,0.614
SNRK2.2,PYL13,0.644
SNRK2.2,PYL5,0.793
SNRK2.2,PYR1,0.956
SNRK2.2,RCAR3,0.815
ABCI15,ABC1,0.702
XIF,ABC1,0.703
XIF,ABCI15,0.706
XIF,SEC10,0.694
ATP3,AT4G01380,0.48
FHY3,LIP1,0.592
TIC,LIP1,0.627
XCT,LIP1,0.72
XCT,TIC,0.584
DOR,AAO2,0.587
SAUL1,AAO2,0.638
SAUL1,AAO3,0.684
SAUL1,DOR,0.59
SAUL1,MAC3B,0.55
AT1G47640,AT3G12030,0.782
AT1G47640,AT5G06660,0.787
AT1G47640,PFD5,0.912
AT3G12030,PFD5,0.717
AT5G06660,PFD5,0.73
ARF6,IAR3,0.584
IAR3,ARF8,0.69
IAR3,JAR1,0.612
IAR3,LAF3,0.941
AGC2-1,MPK3,0.749
AGC2-1,NDPK2,0.704
AGC2-1,RHL41,0.77
MPK3,NDPK2,0.981
MPK3,RHL41,0.673
MPK6,AGC2-1,0.947
MPK6,MPK3,0.806
MPK6,NDPK2,0.916
MPK6,RHL41,0.692
AT1G06840,BRL3,0.831
AT1G06840,SRF2,0.798
AT1G56140,BRL3,0.843
AT1G56140,SRF2,0.798
BAK1,SRF2,0.798
BRL3,BAK1,0.875
BRL3,SRF2,0.839
TIC110,OEP80,0.993
TIC110,TIC40,0.999
TIC110,TOC159,0.999
TIC110,TOC34,0.965
TIC110,TOC75-III,0.999
TIC40,OEP80,0.992
TOC159,OEP80,0.994
TOC159,TIC40,0.958
TOC159,TOC34,0.848
TOC34,OEP80,0.995
TOC34,TIC40,0.957
TOC75-III,OEP80,0.771
TOC75-III,TIC40,0.992
TOC75-III,TOC159,0.999
TOC75-III,TOC34,0.998
Tic20-I,OEP80,0.96
Tic20-I,TIC110,0.995
Tic20-I,TIC40,0.988
Tic20-I,TOC159,0.934
Tic20-I,TOC34,0.964
Tic20-I,TOC75-III,0.984
OPT2,YSL6,0.739
YSL6,HMA1,0.76
YSL6,OPT1,0.821
YSL6,OPT3,0.804
YSL6,OPT4,0.857
YSL6,OPT5,0.82
YSL6,OPT6,0.878
YSL6,OPT7,0.781
YSL6,OPT8,0.88
YSL6,OPT9,0.867
AAC1,AT5G51050,0.692
ER-ANT1,AT5G51050,0.647
CPK31,RBOHD,0.627
CPK31,RHD2,0.615
AT3G45810,AT5G13430,0.604
AT3G45810,AT5G13440,0.604
AT3G45810,CNGC18,0.659
AT5G13430,AT5G13440,0.905
CNGC8,AT3G45810,0.616
MSRA5,AT3G45810,0.71
MSRA5,AT5G13430,0.642
MSRA5,AT5G13440,0.642
CAB3,LHCA3,0.991
CAB3,LHCB3,0.943
CAB3,LHCB4.1,0.994
CAB3,LHCB5,0.996
LHCA3,LHCB3,0.953
LHCA3,LHCB4.1,0.994
LHCA3,LHCB5,0.994
LHCB4.1,LHCB3,0.999
LHCB5,LHCB3,0.998
LHCB5,LHCB4.1,0.999
LHCB6,CAB3,0.996
LHCB6,LHCA3,0.989
LHCB6,LHCB3,0.998
LHCB6,LHCB4.1,0.998
LHCB6,LHCB5,0.998
ARK2,FIM1,0.526
ARK2,SEC6,0.428
ARK2,XIH,0.613
FIM1,XIH,0.614
SEC6,SEC10,0.999
SEC6,XIH,0.694
XIH,SEC10,0.705
BAK1,MSBP1,0.891
AT3G04210,RLP31,0.823
QPT,RLP31,0.429
ATARCA,AT2G46000,0.499
BAK1,At5g46330,0.999
BAK1,PSKR2,0.841
CAM4,CNGC17,0.637
CNGC17,At5g46330,0.666
CNGC17,BAK1,0.823
CNGC17,PSKR2,0.637
PSKR1,BAK1,0.901
PSKR1,CNGC17,0.853
PSY1R,At5g46330,0.802
PSY1R,BAK1,0.71
PSY1R,CNGC17,0.624
AT1G33440,AT1G71140,0.619
AT1G33440,AT1G80530,0.637
AT1G33440,AT2G34355,0.637
AT1G33440,AT3G20460,0.616
AT1G33440,AT4G19450,0.637
AT1G33440,AT5G17700,0.616
AT1G33440,AT5G19700,0.617
AT1G33440,AT5G38030,0.636
AT1G71140,AT1G72140,0.616
AT1G71140,AT1G80530,0.637
AT1G71140,AT2G34355,0.637
AT1G71140,AT3G20460,0.615
AT1G71140,AT4G19450,0.637
AT1G72140,AT1G80530,0.637
AT1G72140,AT2G34355,0.637
AT1G72140,AT3G20460,0.615
AT1G72140,AT4G19450,0.637
AT1G72140,AT5G17700,0.615
AT1G72140,AT5G19700,0.616
AT1G72140,AT5G38030,0.675
AT1G80530,AT3G20460,0.636
AT1G80530,AT5G17700,0.636
AT1G80530,AT5G19700,0.637
AT1G80530,AT5G38030,0.639
AT2G34355,AT3G20460,0.636
AT2G34355,AT5G17700,0.636
AT2G34355,AT5G19700,0.637
AT2G34355,AT5G38030,0.639
AT3G20460,AT4G19450,0.636
AT3G20460,AT5G17700,0.597
AT3G20460,AT5G19700,0.615
AT3G20460,AT5G38030,0.622
AT4G19450,AT5G17700,0.636
AT4G19450,AT5G19700,0.637
AT4G19450,AT5G38030,0.639
G3Pp3,AT1G33440,0.662
G3Pp3,AT1G71140,0.604
G3Pp3,AT1G72140,0.659
G3Pp3,AT1G80530,0.626
G3Pp3,AT2G34355,0.626
G3Pp3,AT3G20460,0.613
G3Pp3,AT4G19450,0.626
G3Pp3,AT5G17700,0.6
G3Pp3,AT5G19700,0.603
G3Pp3,AT5G38030,0.633
MEE21,AT4G02220,0.913
MEE21,MEE49,0.985
MEE49,AT4G02220,0.914
NOF1,AT4G02220,0.911
NOF1,MEE21,0.985
NOF1,MEE49,0.99
AT1G12310,AT3G10190,0.745
AT1G12310,AT4G26470,0.639
AT1G12310,TPC1,0.694
AT1G62820,AT3G10190,0.938
AT1G62820,AT4G26470,0.7
AT1G62820,TPC1,0.694
AT1G73440,AT3G10190,0.616
AT3G10190,AT4G26470,0.637
AT3G10190,At5g57110,0.708
AT3G10190,CERK1,0.668
AT3G10190,TPC1,0.694
TPC1,AT4G26470,0.694
TPC1,At5g57110,0.769
AT1G06890,AT5G04160,0.808
CHL,AT5G14910,0.919
PRXQ,AT5G14910,0.967
PRXQ,CHL,0.942
FTSH1,SPPA,0.727
AT1G35710,AT3G46370,0.868
AT1G64210,AT3G46370,0.798
AT3G46370,BAK1,0.798
AT3G46370,SARK,0.798
SARK,BAK1,0.602
ATG8B,AT4G23030,0.628
ATG8G,AT4G23030,0.661
BSK6,AT4G23030,0.639
eIFiso4G2,AT4G23030,0.637
eIFiso4G2,BSK6,0.618
AT4G02090,AT5G14880,0.681
AT4G22990,AT5G14880,0.643
AT5G14880,AT5G15240,0.824
AT5G14880,GORK,0.642
KAT3,AT5G14880,0.7
KEA3,AT5G14880,0.632
KEA3,KAT3,0.857
AT3G25790,NRT2.4,0.617
NRT2:1,AT3G25790,0.696
RPL40A,AT4G27360,0.683
AT1G77090,AT5G20220,0.4
ACT11,KT5,0.656
KCO6,KT5,0.757
KT5,KCO1,0.683
TPK4,KT5,0.85
PHT2;1,SULTR3;1,0.593
SULTR3;1,MGT10,0.562
SULTR3;1,TAAC,0.588
AT1G29310,AT1G78720,0.803
AT1G29310,AT2G34250,0.85
AT1G29310,AT3G20920,0.998
AT1G29310,SEC61G1,0.997
AT1G78720,AT2G34250,0.803
AT1G78720,AT3G20920,0.988
AT1G78720,SEC61G1,0.996
AT2G34250,AT3G20920,0.989
AT2G34250,SEC61G1,0.997
AT3G20920,SEC61G1,0.979
KUP5,UMAMIT21,0.931
LSH6,AT1G15140,0.544
LSH6,AT4G18250,0.584
LSH6,AT5G59670,0.493
AT5G18760,OS9,0.491
EID1,AT5G18760,0.585
AT3G45720,CLC-C,0.582
APG10,AT5G09630,0.616
AT1G65560,APG10,0.901
AT1G65560,AT5G09630,0.849
AT1G06470,AT2G43240,0.591
SRF5,AT2G43240,0.68
SUT4,AT2G43240,0.601
ABCB1,AT3G17430,0.628
ABCC13,AT3G17430,0.7
AT3G17430,AAT1,0.911
AT3G17430,PIP2A,0.618
PMI1,AT3G17430,0.62
MPK3,RHL41,0.673
MPK3,SYP122,0.674
MPK6,MPK3,0.806
MPK6,RHL41,0.692
SYP122,RHL41,0.591
WRKY25,MPK3,0.71
WRKY25,MPK6,0.802
WRKY25,RHL41,0.727
WRKY25,SYP122,0.706
AT3G05760,AT3G47120,0.962
AT3G08650,IRT2,0.813
AT3G08650,MTPA2,0.55
AT3G08650,ZTP29,0.417
FRO2,IAR1,0.407
FRO2,IREG2,0.723
FRO2,IRT2,0.914
FRO2,MTPA2,0.758
FRO2,NRAMP1,0.879
FRO2,NRAMP4,0.872
IAR1,AT3G08650,0.918
IAR1,IREG2,0.445
IAR1,IRT2,0.863
IAR1,MTPA2,0.869
IAR1,NRAMP1,0.609
IAR1,NRAMP4,0.686
IAR1,ZTP29,0.889
IREG2,NRAMP4,0.893
IRT2,IREG2,0.91
IRT2,NRAMP4,0.808
MTPA2,IREG2,0.932
MTPA2,IRT2,0.861
MTPA2,NRAMP4,0.868
NRAMP1,IREG2,0.68
NRAMP1,IRT2,0.812
NRAMP1,MTPA2,0.511
NRAMP1,ZTP29,0.422
ZTP29,IREG2,0.62
ZTP29,IRT2,0.813
ZTP29,MTPA2,0.585
ZTP29,NRAMP4,0.655
AT5G15640,VDAC4,0.693
DIC2,AT5G15640,0.655
DIC3,AT5G15640,0.827
FUR1,AT5G15640,0.64
FUR1,KEA6,0.585
FUR1,MSL10,0.514
FUR1,VDAC4,0.57
KEA6,AT5G15640,0.722
KEA6,MSL10,0.589
KEA6,VDAC4,0.598
MSL10,AT5G15640,0.639
MSL10,VDAC4,0.565
UCP5,AT5G15640,0.639
UCP5,DIC2,0.683
AT3G45660,CLC-C,0.617
TIM10,TIM8,0.999
TIM10,TOM22-V,0.981
TIM10,TOM40,0.99
TIM13,TIM10,0.999
TIM13,TIM8,0.999
TIM13,TOM22-V,0.993
TIM13,TOM40,0.997
TIM13,VDAC1,0.574
TIM13,VDAC2,0.564
TIM8,VDAC2,0.644
TOM22-I,TIM10,0.974
TOM22-I,TIM13,0.991
TOM22-I,TIM8,0.996
TOM22-I,TOM22-V,0.733
TOM22-I,TOM40,0.999
TOM22-I,VDAC1,0.846
TOM22-I,VDAC2,0.737
TOM22-V,TIM8,0.997
TOM22-V,VDAC2,0.737
TOM40,TIM8,0.992
TOM40,TOM22-V,0.999
TOM40,VDAC2,0.989
VDAC1,TIM8,0.625
VDAC1,TOM22-V,0.759
VDAC1,TOM40,0.992
VDAC1,VDAC2,0.649
AT1G06840,AT1G72460,0.798
AT1G07650,AT1G72460,0.798
AT1G34110,AT1G72460,0.798
AT1G34420,AT1G72460,0.798
FEI1,AT1G72460,0.798
PEPR2,AT1G72460,0.798
AT1G68400,AT1G75640,0.848
AT1G75640,AT3G08680,0.853
AT1G75640,AT3G50230,0.839
AT1G75640,AT4G31250,0.834
AT1G75640,AT5G63710,0.831
AT1G75640,SRF2,0.831
AT4G31250,SRF2,0.499
SRF2,AT5G63710,0.798
RPL3P,AT4G21140,0.916
emb1129,AT4G21140,0.781
emb1129,RPL3P,0.993
AKT1,KT2/3,0.781
AKT1,KUP7,0.621
AT4G22990,KUP7,0.644
CNGC13,KUP7,0.622
CNGC15,KUP7,0.585
DGL,KUP7,0.597
KT2/3,KUP7,0.598
SKOR,KUP7,0.643
TPK4,AKT1,0.574
TPK4,CNGC13,0.569
TPK4,CNGC15,0.58
TPK4,KT2/3,0.642
TPK4,KUP7,0.595
TPK4,SKOR,0.654
AT1G21550,CML41,0.703
AT1G21550,CPK29,0.824
AT1G21550,MYB20,0.662
AT1G21550,TPC1,0.694
CML41,TPC1,0.789
CPK29,CML41,0.523
MYB20,CML41,0.6
MYB20,CPK29,0.662
AT1G18000,AT4G27720,0.598
AT1G18000,NiaP,0.646
At1g18000,AT4G27720,0.598
At1g18000,NiaP,0.646
NiaP,AT4G27720,0.595
SIP4,AT4G27720,0.552
SULTR3;1,AT4G27720,0.543
SULTR3;2,AT4G27720,0.543
PERK4,MYB39,0.567
AT1G07025,AT2G46320,0.845
AT1G07025,NRAMP2,0.624
AT1G07025,ZTP29,0.605
AT1G78180,AT2G46320,0.628
AT2G46320,ZTP29,0.597
HEME2,AT2G46320,0.593
NRAMP2,AT2G46320,0.622
NRAMP2,ZTP29,0.752
ETR2,EIN2,0.979
GDH2,GDH1,0.827
GDH3,GDH1,0.802
GDH3,GDH2,0.803
GGAT1,GDH1,0.875
GGAT1,GDH2,0.881
GGAT1,GDH3,0.834
GGAT1,GLU2,0.963
GLU2,GDH1,0.994
GLU2,GDH2,0.994
GLU2,GDH3,0.99
CaS,LIL3:2,0.766
LIL3:1,CaS,0.9
LIL3:1,LIL3:2,0.81
Lhca5,CaS,0.602
Lhca5,LIL3:1,0.656
Lhca5,LIL3:2,0.749
At4g34190,OHP,0.907
LQY1,At4g34190,0.737
LQY1,OHP,0.919
Lhca5,At4g34190,0.576
Lhca5,LQY1,0.684
Lhca5,OHP,0.863
OHP2,At4g34190,0.476
OHP2,LQY1,0.887
OHP2,Lhca5,0.759
OHP2,OHP,0.992
AT1G76800,AT3G46270,0.804
AT1G76800,AT4G40070,0.81
AT1G76800,UMAMIT31,0.81
AT3G46270,AT4G40070,0.846
AT3G46270,UMAMIT31,0.846
UMAMIT31,AT4G40070,0.847
DAD1,DOX1,0.9
SWEET16,YSL2,0.588
AT1G71870,AT3G43630,0.549
AT3G43630,TDT,0.51
IAR1,AT3G43630,0.513
IAR1,TDT,0.643
IAR1,VIT1,0.601
NDT2,AT3G43630,0.552
NDT2,IAR1,0.606
NDT2,VIT1,0.552
VIT1,AT3G43630,0.855
AT5G01590,OEP80,0.876
AT5G01590,TIC40,0.873
AT5G01590,TOC34,0.839
AT5G01590,emb1211,0.992
OEP80,emb1211,0.872
TIC110,AT5G01590,0.917
TIC110,OEP80,0.993
TIC110,TIC40,0.999
TIC110,TOC34,0.965
TIC110,TOC75-III,0.999
TIC110,emb1211,0.937
TIC40,OEP80,0.992
TIC40,emb1211,0.879
TOC34,OEP80,0.995
TOC34,TIC40,0.957
TOC34,emb1211,0.822
TOC75-III,AT5G01590,0.891
TOC75-III,OEP80,0.771
TOC75-III,TIC40,0.992
TOC75-III,TOC34,0.998
TOC75-III,emb1211,0.873
Tic20-I,AT5G01590,0.993
Tic20-I,OEP80,0.96
Tic20-I,TIC110,0.995
Tic20-I,TIC40,0.988
Tic20-I,TOC34,0.964
Tic20-I,TOC75-III,0.984
Tic20-I,emb1211,0.98
AT3G46960,AT5G10630,0.984
AT3G46960,RRP41,0.98
RRP41,AT5G10630,0.995
NF-YB10,AT5G66270,0.543
AT3G28040,SRF2,0.831
AT1G17910,AT3G61035,0.59
AT1G17910,RLP33,0.508
AT1G19390,AT3G61035,0.59
AT1G19390,RLP33,0.508
AT3G61035,AT4G31110,0.59
AT3G61035,DFL2,0.58
RLP33,AT3G61035,0.637
RLP33,AT4G31110,0.508
AT5G45210,DAR5,0.463
AT1G21580,AT3G27700,0.978
ALA2,AT5G46150,0.709
AT1G16360,ALA2,0.709
AT1G14040,PHF1,0.846
AT1G14040,PHT1;3,0.639
AT1G14040,PHT2;1,0.729
PHF1,PHT1;3,0.744
PHO1,PHF1,0.775
PHO1,PHT1;3,0.627
PHO1,PHT2;1,0.771
PHT1;3,UMAMIT1,0.637
PHT2;1,PHF1,0.582
PHT2;1,PHT1;3,0.904
AT1G12310,AT2G41410,0.663
AT1G12310,TPC1,0.694
AT1G62820,AT2G41410,0.718
AT1G62820,TPC1,0.694
AT2G41410,CPK22,0.741
AT2G41410,CPK7,0.587
AT2G41410,TPC1,0.694
AT2G21840,AT3G14740,0.544
ABCG15,AT3G21690,0.632
ABCG15,AT5G52450,0.637
ABCG15,NRAMP5,0.639
ABCG15,OPT7,0.626
AT3G21690,NRAMP5,0.62
AT3G21690,OPT7,0.597
DEX1,ABCG15,0.639
DEX1,AT5G52450,0.588
NRAMP5,AT5G52450,0.627
OPT7,AT5G52450,0.615
OPT7,NRAMP5,0.618
YSL7,ABCG15,0.638
YSL7,AT3G21690,0.624
YSL7,AT5G52450,0.631
YSL7,NRAMP5,0.636
YSL7,OPT7,0.706
YSL7,ZIP1,0.55
ZIP1,ABCG15,0.616
ZIP1,AT3G21690,0.429
ZIP1,AT5G52450,0.459
ZIP1,NRAMP5,0.496
ZIP1,OPT7,0.625
TTL1,HSP81-3,0.845
ABCF3,ABCG19,0.625
AT1G76450,ABCG19,0.694
AT1G76450,AT3G05410,0.902
AT3G05410,ABCG19,0.826
AT3G05410,MGT4,0.499
MGT4,ABCG19,0.638
AT1G72180,AT5G66815,0.872
AT1G72180,BAM3,0.812
AT1G72180,XIP1,0.823
BAK1,XIP1,0.836
BAM3,BAK1,0.844
BAM3,XIP1,0.816
NRT2:1,AT1G72180,0.616
NRT2:1,XIP1,0.637
RKL1,XIP1,0.798
XIP1,AT5G66815,0.961
SUVR5,HD1,0.932
AT1G09575,AT1G57610,0.551
AT1G09575,AT2G23790,0.614
AT1G09575,AT4G32060,0.955
AT1G57610,AT2G23790,0.618
AT1G57610,AT4G32060,0.955
AT1G57610,CPK20,0.616
AT1G57610,CPK31,0.591
AT1G57610,GLR3.5,0.616
AT2G23790,AT4G32060,0.955
AT2G23790,CPK20,0.616
AT2G23790,CPK31,0.591
AT2G23790,GLR3.5,0.616
GLR3.5,CPK20,0.59
GLR3.5,CPK31,0.541
AT5G27390,RPL24,0.982
RPL15,AT5G27390,0.978
RPL15,RPL24,0.999
AT2G32600,ATO,0.999
SmD3,AT2G32600,0.996
SmD3,ATO,0.997
AT1G06470,GONST1,0.603
AT1G06470,UTR2,0.668
AT1G06470,UTR6,0.591
AT1G54730,GONST1,0.499
AT1G54730,UTR2,0.636
AT1G54730,UTR6,0.636
AT3G05155,UTR2,0.637
AT3G05155,UTR6,0.638
AT4G04760,UTR2,0.635
GONST1,AT3G05155,0.591
GONST1,AT4G04760,0.532
GONST1,UTR2,0.623
GONST1,UTR6,0.73
UTR2,CRH1,0.637
UTR6,AT4G04760,0.636
UTR6,UTR2,0.714
ACT2,FIM1,0.863
AT1G17820,NPG1,0.547
AT1G17820,NPGR2,0.547
ESC,CLF,0.656
ESC,SOB3,0.853
SOB3,CLF,0.423
AT1G69480,AAP4,0.637
CAT6,AAP4,0.605
CNGC10,AAP4,0.499
CNGC10,CAT6,0.499
PUT2,AAP4,0.624
AT1G10730,AT3G46450,0.413
AT1G10730,AT4G11380,0.975
AT1G10730,AT4G23460,0.975
AT1G10730,AT5G11490,0.976
AT3G46450,AT4G11380,0.492
AT3G46450,AT4G23460,0.492
AT3G46450,AT5G11490,0.492
AT4G11380,AT4G23460,0.516
AT4G11380,AT5G11490,0.547
AT4G23460,AT5G11490,0.484
DDI1,AT3G46450,0.44
HAP13,AT3G46450,0.413
HAP13,AT4G11380,0.978
HAP13,AT4G23460,0.976
HAP13,AT5G11490,0.977
AT1G06840,BRL3,0.831
AT1G06840,SRF7,0.798
AT1G27190,BRI1,0.837
AT1G27190,BRL3,0.831
AT1G27190,IOS1,0.798
AT1G27190,SRF7,0.798
BRL3,SRF7,0.826
IOS1,BRL3,0.68
IOS1,SRF7,0.798
SRF7,AT5G43020,0.85
SRF7,BRI1,0.799
SRF7,MRH1,0.807
AT1G54500,AT5G51010,0.701
AT1G54500,ENH1,0.618
ENH1,AT5G51010,0.93
AKT1,CBL1,0.99
AKT1,CBL10,0.965
AKT1,CBL2,0.869
AKT1,CBL3,0.829
AKT1,CBL9,0.991
AKT1,HAK5,0.974
AKT1,SOS3,0.952
CIPK23,AKT1,0.998
CIPK23,CBL1,0.999
CIPK23,CBL10,0.93
CIPK23,CBL2,0.996
CIPK23,CBL3,0.996
CIPK23,CBL9,0.999
CIPK23,HAK5,0.912
CIPK23,SOS3,0.93
HAK5,CBL1,0.931
HAK5,CBL10,0.72
HAK5,CBL2,0.802
HAK5,CBL3,0.549
HAK5,CBL9,0.928
HAK5,SOS3,0.865
NRT1.1,AKT1,0.666
NRT1.1,CBL1,0.64
NRT1.1,CBL9,0.683
NRT1.1,CIPK23,0.971
NRT1.1,HAK5,0.617
CUL1,ZFWD1,0.915
AT2G44310,AT4G38810,0.925
AT2G44310,AT5G22760,0.966
AT2G44310,RACK1C_AT,0.499
AT4G38810,AT5G22760,0.925
BEL10,PLPB,0.789
PLPB,AT2G40420,0.701
HAI2,PYL10,0.961
HAI2,PYL13,0.938
HAI2,PYL4,0.929
HAI2,PYL5,0.969
HAI2,PYL6,0.947
HAI2,PYL7,0.967
HAI2,PYR1,0.958
HAI2,RCAR3,0.997
HAI2,SNRK2.2,0.933
PYL13,PYL10,0.537
PYL13,PYL5,0.535
PYL13,RCAR3,0.536
PYL4,PYL13,0.521
PYL4,PYL5,0.735
PYL4,PYL6,0.689
PYL4,SNRK2.2,0.848
PYL6,PYL13,0.518
PYL6,PYL5,0.69
PYL6,SNRK2.2,0.599
PYL7,PYL13,0.534
PYR1,PYL13,0.529
RCAR1,HAI2,0.961
RCAR1,PYL13,0.535
RCAR1,SNRK2.2,0.748
SNRK2.2,PYL10,0.615
SNRK2.2,PYL13,0.644
SNRK2.2,PYL5,0.793
SNRK2.2,PYL7,0.63
SNRK2.2,PYR1,0.956
SNRK2.2,RCAR3,0.815
AT3G08650,ZIP9,0.824
AT3G08650,ZTP29,0.417
IAR1,AT3G08650,0.918
IAR1,ZAT,0.886
IAR1,ZIP9,0.886
IAR1,ZTP29,0.889
ZAT,AT3G08650,0.55
ZAT,ZIP9,0.782
ZAT,ZTP29,0.69
ZAT,bZIP19,0.586
ZIP9,bZIP19,0.879
ZTP29,ZIP9,0.805
bZIP23,ZIP9,0.874
AT1G02270,At5g54490,0.711
AT1G01350,AT1G66810,0.672
AT1G01350,AT5G40880,0.637
AT1G01350,AT5G49200,0.637
AT1G01350,AT5G51980,0.592
AT1G01350,ZFWD1,0.459
AT1G66810,AT5G40880,0.819
AT1G66810,AT5G49200,0.819
AT1G66810,AT5G51980,0.67
AT1G66810,ZFWD1,0.649
ZFWD1,AT5G51980,0.551
RK1,RLP23,0.793
RK1,RLP38,0.453
RLP23,RLP38,0.456
WAK1,RK1,0.548
WAK1,RLP23,0.564
WAK1,RLP38,0.504
APX1,GulLO5,0.757
GulLO5,APX2,0.757
GulLO5,APX3,0.757
GulLO5,APX5,0.757
ABO5,NAD4,0.739
AT5G26610,I-2,0.71
TOPP1,I-2,0.853
AT4G00290,MSL10,0.908
AT4G00290,MSL9,0.639
MSL6,AT4G00290,0.617
AT2G39210,SWEET11,0.617
AT2G39210,SWEET12,0.615
ERDL6,SWEET11,0.446
ERDL6,SWEET12,0.596
OPR3,SWEET11,0.616
OPR3,SWEET12,0.616
SUT4,ERDL6,0.566
SUT4,SWEET11,0.637
SUT4,SWEET12,0.619
SWEET11,SWEET12,0.812
ADNT1,PNC2,0.661
PNC1,ADNT1,0.766
CRY2,CRY1,0.839
CRY2,DOF5.5,0.564
CRY2,FKF1,0.914
CRY2,GI,0.875
CRY2,LKP2,0.848
FKF1,CRY1,0.886
FKF1,DOF5.5,0.996
FKF1,LKP2,0.805
GI,CRY1,0.838
GI,DOF5.5,0.991
GI,FKF1,0.999
GI,LKP2,0.911
LKP2,CRY1,0.8
LKP2,DOF5.5,0.811
NAD4,ORF25,0.835
ALB1,CHLI1,0.998
ALB1,CHLI2,0.996
ALB1,GUN5,0.999
ALB1,HEMG2,0.991
CHLI1,CHLI2,0.984
CHLI1,GUN5,0.999
CHLI1,HEMG2,0.981
GUN5,CHLI2,0.998
GUN5,HEMG2,0.992
HEMG2,CHLI2,0.984
ABCG39,CHX18,0.65
ABCG39,KT2,0.707
ABCG39,KUP6,0.706
AT3G21690,CHX18,0.634
CHX18,AT5G52450,0.637
