protein_source,protein_target,score
AT2G28315,RLP36,0.648
ZDS,ABA1,0.988
AP19,AT5G11490,0.968
AT1G10730,AP19,0.961
AT1G10730,AT5G11490,0.976
AT1G10730,GAMMA-ADR,0.996
GAMMA-ADR,AP19,0.984
GAMMA-ADR,AT5G11490,0.982
GAMMA-ADR,HAP13,0.994
HAP13,AP19,0.961
HAP13,AT5G11490,0.977
SLAH4,AT2G26690,0.623
SLAH4,AT3G21670,0.623
SLAH4,CPK21,0.633
SLAH4,CPK23,0.549
AT2G41090,AT4G27790,0.692
AT2G41090,AT5G59670,0.716
AT2G41090,TPC1,0.694
WAK1,AT2G41090,0.738
AT3G11630,At5g06290,0.795
AT3G11630,PRXQ,0.896
NTRC,AT3G11630,0.999
NTRC,At5g06290,0.999
NTRC,PRXQ,0.978
PER1,AT3G11630,0.736
PER1,At5g06290,0.734
PER1,NTRC,0.977
PER1,PRXIIC,0.845
PER1,PRXQ,0.846
PRXIIC,AT3G11630,0.978
PRXIIC,At5g06290,0.981
PRXIIC,NTRC,0.908
PRXIIC,PRXQ,0.947
PRXQ,At5g06290,0.927
FTRA2,ENH1,0.928
ATARCA,AT3G45560,0.424
ATARCA,COP1,0.679
ATARCA,RACK1B_AT,0.95
ATARCA,RACK1C_AT,0.905
COP1,AT3G45560,0.5
COP1,RACK1C_AT,0.679
RACK1B_AT,AT3G45560,0.424
RACK1B_AT,COP1,0.679
RACK1B_AT,RACK1C_AT,0.935
RACK1C_AT,AT3G45560,0.424
AT2G34020,AT5G48940,0.861
AT2G34020,MSL9,0.813
ENODL14,AT2G34020,0.825
ENODL14,AT5G48940,0.619
ENODL14,MSL9,0.599
MSL9,AT5G48940,0.746
AT2G37660,CHLI1,0.877
ABI1,ABI2,0.462
ABI1,HAI1,0.697
ABI2,HAI1,0.512
HAB1,ABI2,0.43
HAB1,HAI1,0.495
HAB1,PYL13,0.969
HAB2,PYL13,0.931
HAI2,ABI1,0.43
HAI2,ABI2,0.542
HAI2,HAI1,0.635
HAI2,PP2CA,0.444
HAI2,PYL13,0.938
PP2CA,ABI1,0.416
PP2CA,ABI2,0.477
PP2CA,HAI1,0.723
PP2CA,PYL13,0.996
PYL13,ABI1,0.995
PYL13,ABI2,0.93
PYL13,HAI1,0.87
BBX15,At4g21210,0.41
BBX15,UMAMIT46,0.424
BBX15,UMAMIT47,0.41
UMAMIT46,At4g21210,0.41
UMAMIT46,UMAMIT47,0.44
UMAMIT47,At4g21210,0.418
AT1G19660,BBD1,0.688
RNS3,BBD1,0.637
NAT12,YSL5,0.72
YSL5,OPT1,0.641
YSL5,OPT4,0.641
YSL5,OPT5,0.654
YSL5,OPT6,0.642
YSL5,OPT7,0.643
YSL5,OPT8,0.661
YSL5,OPT9,0.66
YSL5,ZTP29,0.637
ABCF3,ABCD1,0.838
ABCG24,ABCD1,0.489
ABCG24,ABCF3,0.509
ABCG24,AT1G63010,0.485
ABCG24,AT3G09990,0.616
ABCG24,MSS1,0.649
AT1G63010,MSS1,0.598
AT3G45690,CLC-C,0.586
NRT2.2,AT3G45690,0.481
NRT2:1,AT3G45690,0.479
SmD3,AT3G44785,0.977
ATNTT2,AT5G59250,0.638
ATNTT2,LrgB,0.821
CHL,AT5G59250,0.736
LrgB,AT5G59250,0.745
MGT10,AT5G59250,0.688
SWEET2,AT5G59250,0.678
AKT1,CBL7,0.76
AKT1,TPC1,0.675
CBL7,TOC34,0.698
CIPK23,AKT1,0.998
CIPK23,CBL7,0.761
GLR2.7,CBL7,0.684
TPC1,CBL7,0.7
AT4G17280,CIPK20,0.599
RGS1,AT4G17280,0.499
AT1G29560,RRP41,0.529
ABI1,BAK1,0.94
ABI1,BRI1,0.409
ABI1,OST1,0.999
BAK1,At5g46330,0.999
BAK1,BRI1,0.999
BAK1,KAPP,0.935
BAK1,OST1,0.971
BRI1,KAPP,0.936
KAPP,At5g46330,0.718
OST1,KAPP,0.447
AGL61,AT5G27880,0.635
AT3G01030,AT5G27880,0.655
AT3G01030,AT5G56200,0.9
AT5G27880,AT5G56200,0.619
ZFP6,AT5G27880,0.639
EMB3001,AT5G48655,0.908
AT-IE,UMAMIT1,0.615
CAT6,MGT9,0.583
CAT6,UMAMIT1,0.747
KUP1,CAT6,0.468
KUP1,MGT6,0.594
KUP1,MGT9,0.516
KUP1,PMT5,0.59
KUP1,ProT3,0.563
KUP1,UMAMIT1,0.659
MGT6,CAT6,0.62
MGT6,PHT1;3,0.549
MGT6,UMAMIT1,0.859
PHT1;3,MGT9,0.432
PHT1;3,UMAMIT1,0.637
PMT5,MGT6,0.549
PMT5,MGT9,0.548
PMT5,UMAMIT1,0.637
ProT3,CAT6,0.602
ProT3,MGT6,0.637
ProT3,MGT9,0.616
ProT3,PHT1;3,0.459
ProT3,PMT5,0.497
ProT3,UMAMIT1,0.825
UMAMIT1,MGT9,0.794
AT1G11670,AT1G51340,0.548
AT1G64710,AT4G17260,0.921
DA1,AGB1,0.679
AT5G07400,AT5G51300,0.588
AT5G07400,TDP1,0.433
ABCD1,PEX19-2,0.998
ABCD1,PEX5,0.995
PEX11A,ABCD1,0.991
PEX11A,PEX19-1,0.961
PEX11A,PEX19-2,0.961
PEX11A,PEX3-1,0.983
PEX11A,PEX5,0.929
PEX19-1,ABCD1,0.999
PEX19-1,PEX19-2,0.804
PEX19-1,PEX3-1,0.986
PEX19-1,PEX5,0.741
PEX19-2,PEX5,0.741
PEX3-1,ABCD1,0.999
PEX3-1,PEX19-2,0.986
PEX3-1,PEX5,0.978
P5CS1,P5CS2,0.998
P5CS1,PROT1,0.61
PROT1,BON2,0.561
PROT1,P5CS2,0.645
MBF1C,LTP4,0.63
At1g66480,WEB1,0.489
ALMT6,AT4G17585,0.726
ALMT6,At4g21210,0.626
ALMT6,EMB1895,0.549
ALMT6,GLR3.6,0.572
ALMT6,PPCK2,0.549
ALMT6,TDT,0.834
ALMT6,TPC1,0.549
ALMT6,U1A,0.57
At4g21210,TDT,0.639
GLR3.6,TPC1,0.617
PPCK2,At4g21210,0.463
PPCK2,TDT,0.525
U1A,EMB1895,0.615
SYP121,PIP3,0.857
SYP61,PIP3,0.811
SYP61,SYP121,0.986
TSPO,PIP3,0.942
AT1G14390,AT1G25320,0.831
AT1G14390,AT4G26540,0.832
AT1G14390,MPA24.5,0.798
AT1G25320,AT1G67510,0.801
AT1G25320,AT4G26540,0.831
AT1G25320,ERL2,0.831
AT1G25320,GSO1,0.831
AT1G25320,IMK2,0.825
AT1G25320,MPA24.5,0.856
AT1G25320,RKL1,0.798
AT1G25320,SERK2,0.798
AT1G67510,MPA24.5,0.664
AT4G26540,ERL2,0.814
AT4G26540,MPA24.5,0.811
GSO1,AT4G26540,0.831
GSO1,MPA24.5,0.821
IMK2,MPA24.5,0.43
SERK2,MPA24.5,0.822
AT1G31410,AT1G67310,0.681
AT1G31410,AT4G22350,0.88
AT1G67310,AT4G22350,0.697
CVP2,AT1G67310,0.599
APG10,AT3G59845,0.901
APG10,AT5G09630,0.616
AT3G59845,AT5G09630,0.849
TRM12,AT1G63740,0.697
GAMMA-TIP,PIP2A,0.794
GAMMA-TIP,SYP121,0.701
GAMMA-TIP,SYP122,0.709
GAMMA-TIP,TIP2,0.732
SYP121,PIP2A,0.585
SYP121,SYP122,0.952
SYP121,TIP2,0.668
SYP122,PIP2A,0.419
TIP2,PIP2A,0.774
TIP2,SYP122,0.668
LHCA2,PSAL,0.967
LHCA3,LHCA2,0.972
LHCA3,PSAL,0.999
AT5G25420,AZG2,0.939
AZG1,AT5G25420,0.957
LYK3,LYM3,0.657
LYM1,LYK3,0.639
AT1G71480,AT3G20015,0.928
AT1G71480,CP33,0.827
AT3G20015,CP33,0.7
AT3G20015,PDLP8,0.639
AT3G20015,STP7,0.641
PDLP8,STP7,0.638
PCR1,AT5G45000,0.674
CAT6,UMAMIT1,0.747
KUP1,CAT6,0.468
KUP1,MGT6,0.594
KUP1,ProT3,0.563
KUP1,UMAMIT1,0.659
MGT6,CAT6,0.62
MGT6,UMAMIT1,0.859
MHX,CAT6,0.5
MHX,MGT6,0.745
ProT3,CAT6,0.602
ProT3,MGT6,0.637
ProT3,UMAMIT1,0.825
VHA-A2,MGT6,0.637
VHA-A2,MHX,0.594
AT5G14880,AT5G15240,0.824
AT5G15240,GLIP1,0.639
AT1G51830,AT1G75640,0.439
AT1G51830,AT3G24240,0.512
AT1G51830,AT4G39270,0.465
AT1G51830,AT5G22890,0.519
AT3G24240,AT5G22890,0.45
ABCI13,ABCI15,0.981
ABCI13,FAD6,0.589
ABCI15,FAD6,0.462
MBAC1,AT5G44720,0.613
PMT1,ABCG9,0.617
PMT1,AGL24,0.51
PMT1,AP3,0.51
PMT1,PROT2,0.501
QPT,PMT1,0.581
AAO3,ABA1,0.952
AAO3,CYP707A4,0.958
AAO3,EIN2,0.524
AAO3,NCED3,0.933
AAO3,UGT71B6,0.455
ABA3,AAO3,0.954
ABA3,ABA1,0.949
ABA3,CYP707A4,0.715
ABA3,EIN2,0.564
ABA3,NCED3,0.906
BGLU18,AAO3,0.952
BGLU18,CYP707A4,0.959
BGLU18,NCED3,0.58
BGLU18,UGT71B6,0.655
CYP707A4,ABA1,0.636
CYP707A4,EIN2,0.69
CYP707A4,UGT71B6,0.622
EIN2,ABA1,0.594
NCED3,ABA1,0.954
NCED3,CYP707A4,0.65
NCED3,EIN2,0.441
NCED3,UGT71B6,0.6
MYC2,ABI5,0.615
MYC2,NAC019,0.782
NAC019,ABF4,0.679
NAC019,ABI5,0.689
NAC019,CPL1,0.816
NAC019,ZFHD1,0.841
RHA2A,ABI5,0.487
RHA2A,NAC019,0.907
TUA2,AT4G01930,0.625
SYP121,SYP122,0.952
AT3G59440,CBL1,0.715
AT3G59440,CBL10,0.618
AT3G59440,CBL5,0.734
AT3G59440,CBL9,0.733
AT3G59440,TPC1,0.722
CBL5,TPC1,0.66
TPC1,CBL1,0.802
TPC1,CBL10,0.829
TPC1,CBL9,0.755
AT1G18390,AT1G74360,0.719
AT1G18390,PSKR1,0.656
AT1G18390,SYP122,0.699
AT1G18390,WRKY25,0.684
AT1G74360,PSKR1,0.435
AT1G74360,SYP122,0.433
AT1G74360,WRKY25,0.415
WRKY25,SYP122,0.706
COP1,AT5G02070,0.501
RLP30,AT5G02070,0.678
AT1G58265,RLP33,0.635
OS9,AT5G59000,0.491
AT1G21070,ABCC13,0.669
AT1G21070,AT1G53660,0.727
AT1G21070,AT4G28370,0.804
AT1G21070,AT4G32390,0.683
AT1G21070,AT5G25400,0.683
AT1G53660,AT4G28370,0.445
AT3G01830,AT3G29000,0.788
AT3G01830,AT4G39670,0.764
AT3G01830,AT5G39670,0.878
AT3G01830,BAP1,0.822
AT3G01830,CBP60G,0.474
AT3G01830,CML37,0.867
AT3G01830,RHL41,0.613
AT3G29000,CML37,0.838
AT4G39670,CBP60G,0.533
AT4G39670,CML37,0.776
AT4G39670,RHL41,0.716
AT5G39670,CML37,0.739
BAP1,AT4G39670,0.465
BAP1,AT5G39670,0.424
BAP1,CBP60G,0.55
BAP1,CML37,0.81
BAP1,RHL41,0.919
CBP60G,AT5G39670,0.932
CBP60G,CML37,0.732
CBP60G,RHL41,0.513
CML37,RHL41,0.859
ABCG39,CHX18,0.65
ABCG39,KUP6,0.706
ALMT12,GORK,0.798
ALMT12,KAT3,0.59
ALMT12,OST1,0.848
KAT3,KEA6,0.569
KCO5,ALMT12,0.441
KCO5,GORK,0.483
KCO5,KAT3,0.647
KEA6,GORK,0.437
KUP6,ALMT12,0.637
KUP6,AT4G22990,0.644
KUP6,CHX18,0.673
KUP6,GORK,0.832
KUP6,KAT3,0.8
KUP6,KCO5,0.642
KUP6,KEA6,0.765
KUP6,OST1,0.802
OST1,GORK,0.661
RAD23A,AT5G60730,0.878
RAD23B,AT5G60730,0.873
RAD23C,AT5G60730,0.873
RAD23C,RAD23D,0.54
RAD23D,AT5G60730,0.873
ABCB11,OPT6,0.627
ABCC8,OPT6,0.681
AT1G53820,OPT6,0.637
OPT6,YSL2,0.663
OPT6,YSL3,0.716
OPT6,YSL4,0.761
YSL1,OPT6,0.803
YSL5,OPT6,0.642
YSL6,OPT6,0.878
YSL8,OPT6,0.813
AT5G02180,CIPK20,0.428
SE,HASTY,0.973
CRY1,NPH3,0.592
CRY2,CRY1,0.839
CRY2,NPH3,0.58
CRY2,PHOT1,0.977
CRY2,PKS1,0.519
PHOT1,CRY1,0.98
PHOT1,NPH3,0.999
PKS1,CRY1,0.585
PKS1,NPH3,0.835
PKS1,PHOT1,0.991
IMK2,MAKR6,0.599
MAKR5,MAKR6,0.637
AAO3,ABA1,0.952
AAO3,CYP707A4,0.958
AAO3,NCED3,0.933
ABA3,AAO3,0.954
ABA3,ABA1,0.949
ABA3,CYP707A4,0.715
ABA3,NCED3,0.906
BGLU18,AAO3,0.952
BGLU18,CYP707A4,0.959
BGLU18,NCED3,0.58
CYP707A4,ABA1,0.636
NCED3,ABA1,0.954
NCED3,CYP707A4,0.65
AT1G72130,CLC-B,0.654
CLC-B,CLC-E,0.967
CLC-B,G3Pp4,0.652
CLC-B,NRT2.7,0.638
CLC-F,CLC-B,0.978
CLC-F,CLC-E,0.633
AT2G17190,DDI1,0.928
AT2G17190,DSK2,0.812
AT2G17190,RPN13,0.983
AT2G17190,RPT2a,0.849
AT2G17190,RPT2b,0.692
DDI1,RPT2a,0.74
DSK2,DDI1,0.904
DSK2,RPN13,0.991
DSK2,RPT2a,0.711
DSK2,RPT2b,0.692
RAD23A,AT2G17190,0.942
RAD23A,DDI1,0.991
RAD23A,DSK2,0.979
RAD23A,RPN13,0.977
RAD23A,RPT2a,0.956
RAD23A,RPT2b,0.95
RPN13,DDI1,0.99
RPN13,RPT2a,0.999
RPT2b,DDI1,0.75
RPT2b,RPN13,0.999
RPT2b,RPT2a,0.907
AT1G05070,EMB2762,0.995
AT1G05070,TOZ,0.997
EMB2762,TOZ,0.999
RLP7,AT1G57630,0.686
RLP7,AT1G63750,0.632
RLP7,AT1G66090,0.624
RLP7,AT5G41750,0.65
RLP7,AT5G45240,0.691
AT1G50400,PHB3,0.854
AT1G50400,TOM40,0.547
AT1G50400,VDAC1,0.976
FZL,AT1G50400,0.714
FZL,PHB3,0.517
FZL,TOM22-I,0.666
FZL,TOM40,0.714
FZL,VDAC1,0.869
TOM22-I,AT1G50400,0.995
TOM22-I,PHB3,0.69
TOM22-I,TOM40,0.999
TOM22-I,VDAC1,0.846
TOM40,PHB3,0.915
VDAC1,PHB3,0.913
VDAC1,TOM40,0.992
T22C5.23,TPC1,0.893
TPC1,AGB1,0.999
TPC1,KCO1,0.891
AT1G66780,ABCG26,0.672
AT1G66780,DEX1,0.672
AT1G66780,HO2,0.674
DEX1,ABCG26,0.636
AT2G32380,AT5G52150,0.855
NOF1,AT2G24030,0.953
PMI1,PMI2,0.424
PMI1,WEB1,0.821
PMI2,WEB1,0.889
WEB1,PHR2,0.699
YAK1,AT5G40670,0.805
CBF2,AT5G64220,0.63
CBP60G,AT5G64220,0.784
CBP60G,RSW3,0.728
RSW3,AT5G64220,0.709
STOP1,AT5G64220,0.632
COP1,DET1,0.997
COP1,FHY3,0.618
COP1,HY5,0.999
COP1,HYH,0.995
COP1,LAF1,0.925
COP1,SPA1,0.999
DET1,HY5,0.971
DET1,LAF1,0.524
FHY3,HY5,0.99
HYH,DET1,0.652
HYH,HY5,0.98
HYH,LAF1,0.853
LAF1,HY5,0.974
PIF3,COP1,0.96
PIF3,DET1,0.845
PIF3,FHY3,0.624
PIF3,HY5,0.984
PIF3,HYH,0.788
PIF3,LAF1,0.459
PIF3,SPA1,0.729
SPA1,DET1,0.637
SPA1,FHY3,0.418
SPA1,HY5,0.974
SPA1,HYH,0.903
SPA1,LAF1,0.797
UMAMIT23,NAXT1,0.64
AT1G61105,AT4G23440,0.596
AT1G61105,CIP7,0.702
AT1G61105,PSKR1,0.515
AT1G61105,PSY1R,0.515
PSKR1,AT4G23440,0.687
PSY1R,AT4G23440,0.687
APC1,AT5G66650,0.669
AT1G09575,AT1G57610,0.551
AT1G09575,AT4G32060,0.955
AT1G09575,AT5G66650,0.617
AT1G57610,AT4G32060,0.955
AT1G57610,AT5G66650,0.63
AT1G57610,HMA1,0.442
AT4G32060,APC1,0.411
AT4G32060,AT5G66650,0.955
HMA1,AT5G66650,0.591
AT1G25320,AT2G02780,0.664
AT1G25320,IMK2,0.825
AT1G25320,PSKR1,0.599
AT1G64210,AT2G02780,0.599
AT1G64210,IMK2,0.798
AT1G64210,PSKR1,0.599
AT1G64210,TMK1,0.798
AT2G02780,AT3G57830,0.8
AT2G02780,IMK2,0.836
IMK2,AT3G57830,0.806
IMK2,PXY,0.844
PSKR1,IMK2,0.811
TMK1,AT2G02780,0.677
TMK1,IMK2,0.834
AT4G29870,DGL1,0.937
HAP6,AT4G29870,0.863
HAP6,DGL1,0.999
AT1G08230,AT1G22570,0.502
AT1G08230,AT4G18220,0.499
AT1G22570,AAT1,0.519
AT1G22570,AT4G18220,0.499
AT1G22570,AT5G15240,0.502
AT1G22570,GABP,0.55
AT1G22570,GAMMA-TIP,0.504
AT1G22570,ZF14,0.499
AT4G18220,AT5G15240,0.499
GABP,AAT1,0.759
AT2G39210,LHT1,0.619
AT2G39210,SWEET11,0.617
AT1G29025,AT5G59930,0.416
ABI1,ABI2,0.462
ABI1,HAI1,0.697
ABI1,PYL5,0.996
ABI2,HAI1,0.512
